point_index,x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg,requested_velocity_percent,requested_acceleration_percent
163,-138.529195198,74.9926633599,200.061,-179.945,-0.097,89.8024359484,100,80
164,-139.515598758,74.9931261811,200.061,-179.945,-0.097,89.8251331036,100,80
165,-140.50422065,74.9930750728,200.061,-179.945,-0.097,89.844127299,100,80
166,-141.495057305,74.9926371766,200.061,-179.945,-0.097,89.8594241776,100,80
167,-142.488107878,74.9919397777,200.061,-179.945,-0.097,89.8710250204,100,80
168,-143.483374399,74.9911106105,200.061,-179.945,-0.097,89.8789264454,100,80
169,-144.480861931,74.9902781947,200.061,-179.945,-0.097,89.8831200876,100,80
170,-145.480578654,74.989572195,200.061,-179.945,-0.097,89.8835924001,100,80
171,-146.482535841,74.9891237875,200.061,-179.945,-0.097,89.8803246409,100,80
172,-147.486747784,74.9890660245,200.061,-179.945,-0.097,89.873292937,100,80
173,-148.493231773,74.9895342046,200.061,-179.945,-0.097,89.8624682645,100,80
174,-149.502008148,74.9906662656,200.061,-179.945,-0.097,89.8478162894,100,80
175,-150.513100397,74.9926032027,200.061,-179.945,-0.097,89.8292971473,100,80
176,-151.526535233,74.9954895077,200.061,-179.945,-0.097,89.8068652381,100,80
177,-152.542342666,74.9994736279,200.061,-179.945,-0.097,89.7804690301,100,80
178,-153.560556078,75.0047084487,200.061,-179.945,-0.097,89.7500508507,100,80
179,-154.581212278,75.0113517918,200.061,-179.945,-0.097,89.7155467084,100,80
180,-155.604351445,75.0195668946,200.061,-179.945,-0.097,89.6768862891,100,80
181,-156.630016638,75.0295227171,200.061,-179.945,-0.097,89.6339936593,100,80
182,-157.658251687,75.0413934681,200.061,-179.945,-0.097,89.5867906857,100,80
183,-158.689094044,75.0553554334,200.061,-179.945,-0.097,89.5352088721,100,80
184,-159.722555253,75.0715764595,200.061,-179.945,-0.097,89.4792219552,100,80
185,-160.758576671,75.0901891523,200.061,-179.945,-0.097,89.4189200578,100,80
186,-161.796945238,75.1112345141,200.061,-179.945,-0.097,89.3546511157,100,80
187,-162.837160024,75.1345628848,200.061,-179.945,-0.097,89.2872455432,100,80
188,-163.878262389,75.1596908294,200.061,-179.945,-0.097,89.2183032,100,80
189,-164.918680942,75.1856407856,200.061,-179.945,-0.097,89.1504571321,100,80
190,-165.956180823,75.2108284817,200.061,-179.945,-0.097,89.0874632149,100,80
191,-166.988013364,75.2330883984,200.061,-179.945,-0.097,89.0339520975,100,80
192,-168.011309172,75.24990907,200.061,-179.945,-0.097,88.9947677585,100,80
193,-169.023650175,75.2588736296,200.061,-179.945,-0.097,88.9739987704,100,80
194,-170.200530235,75.4023907841,200.061,-179.945,-0.097,88.6757681954,100,80
195,-169.608314627,74.9103299266,200.061,-179.945,-0.097,89.6700161802,100,80
196,-169.007691926,74.4286096111,200.061,-179.945,-0.097,90.664264165,100,80
197,-168.398842655,73.9573734334,200.061,-179.945,-0.097,91.6585121498,100,80
198,-167.781949785,73.4967618385,200.061,-179.945,-0.097,92.6527601346,100,80
